SURVEY_YEAR,VESSEL,CRUISE,HAUL,STATIONID,GIS_STATION
1979,12,197902,2,HG2524,HG2524
1979,12,197902,3,IH2423,IH2423
1979,12,197902,4,JI2322,JI2322
1979,12,197902,6,KJ2423,KJ2423
1979,12,197902,7,JI2524,JI2524
1979,12,197902,8,IH2625,IH2625
1979,12,197902,10,KJ2625,KJ2625
1979,12,197902,11,LK2524,LK2524
1979,12,197902,12,ML2423,ML2423
1979,12,197902,13,NM2524,NM2524
1979,12,197902,14,ML2625,ML2625
1979,12,197902,15,LK2726,LK2726
1979,12,197902,17,NM2726,NM2726
1979,12,197902,18,ON2625,ON2625
1979,12,197902,19,PO2726,PO2726
1979,12,197902,20,ON2827,ON2827
1979,12,197902,21,NM2928,NM2928
1979,12,197902,22,ML3029,ML3029
1979,12,197902,23,ML3231,ML3231
1979,12,197902,24,NM3130,NM3130
1979,12,197902,25,ON3029,ON3029
1979,12,197902,26,PO2928,PO2928
1979,12,197902,27,QP2827,QP2827
1979,12,197902,28,RQ2928,RQ2928
1979,12,197902,29,QP3029,QP3029
1979,12,197902,30,PO3130,PO3130
1979,12,197902,33,QP3231,QP3231
1979,12,197902,34,RQ3130,RQ3130
1979,12,197902,35,SR3029,SR3029
1979,12,197902,36,UT3029,UT3029
1979,12,197902,37,TS3130,TS3130
1979,12,197902,38,SR3231,SR3231
1979,12,197902,160,L-20,L-20
1979,12,197902,162,L-18,L-18
1979,12,197902,163,L-01,L-01
1979,12,197902,164,L-02,L-02
1979,12,197902,165,L-03,L-03
1979,12,197902,166,K-03,K-03
1979,12,197902,167,K-04,K-04
1979,12,197902,168,K-05,K-05
1979,12,197902,169,K-06,K-06
1979,12,197902,170,K-07,K-07
1979,12,197902,171,K-09,K-09
1979,12,197902,172,L-08,L-08
1979,12,197902,173,L-07,L-07
1979,12,197902,174,L-06,L-06
1979,12,197902,175,L-05,L-05
1979,12,197902,176,L-04,L-04
1979,12,197902,177,M-05,M-05
1979,12,197902,178,N-06,N-06
1979,14,197902,1,B-06,B-06
1979,12,197902,16,ML2827,ML2827
1979,12,197902,161,L-19,L-19
1979,12,197902,1,G-26,G-26
1979,14,197902,71,F-11,F-11
1979,14,197902,72,E-11,E-11
1979,14,197902,73,E-10,E-10
1979,14,197902,74,E-09,E-09
1979,14,197902,75,E-08,E-08
1979,14,197902,76,E-07,E-07
1979,14,197902,77,E-06,E-06
1979,14,197902,132,D-10,D-10
1979,14,197902,133,E-12,E-12
1979,14,197902,134,F-12,F-12
1979,14,197902,135,G-12,G-12
1979,14,197902,136,G-13,G-13
1979,14,197902,137,H-14,H-14
1979,14,197902,138,J-15,J-15
1979,14,197902,139,I-15,I-15
1979,14,197902,140,I-14,I-14
1979,14,197902,141,I-13,I-13
1979,14,197902,142,H-13,H-13
1979,14,197902,143,H-12,H-12
1979,14,197902,144,I-12,I-12
1979,14,197902,145,I-11,I-11
1979,14,197902,146,I-10,I-10
1979,14,197902,147,I-09,I-09
1979,14,197902,148,J-09,J-09
1979,14,197902,149,J-08,J-08
1979,14,197902,150,J-07,J-07
1979,14,197902,151,J-06,J-06
1979,14,197902,152,J-05,J-05
1979,14,197902,153,J-04,J-04
1979,14,197902,154,J-03,J-03
1979,14,197902,155,J-02,J-02
1979,14,197902,156,H-05,H-05
1979,14,197902,157,H-04,H-04
1979,14,197902,158,H-03,H-03
1979,14,197902,159,H-02,H-02
1979,14,197902,160,H-01,H-01
1979,14,197902,2,C-06,C-06
1979,14,197902,3,C-05,C-05
1979,14,197902,4,B-05,B-05
1979,14,197902,5,A-05,A-05
1979,14,197902,6,A-04,A-04
1979,14,197902,7,B-04,B-04
1979,14,197902,8,C-04,C-04
1979,14,197902,9,C-03,C-03
1979,14,197902,10,B-03,B-03
1979,14,197902,11,A-03,A-03
1979,14,197902,12,A-02,A-02
1979,14,197902,13,B-02,B-02
1979,14,197902,14,B-01,B-01
1979,14,197902,15,C-01,C-01
1979,14,197902,16,C-02,C-02
1979,14,197902,17,D-02,D-02
1979,14,197902,18,D-01,D-01
1979,14,197902,19,C-18,C-18
1979,14,197902,20,D-18,D-18
1979,14,197902,21,E-18,E-18
1979,14,197902,22,E-19,E-19
1979,14,197902,27,G-19,G-19
1979,14,197902,28,F-19,F-19
1979,14,197902,29,F-18,F-18
1979,14,197902,30,F-01,F-01
1979,14,197902,31,E-01,E-01
1979,14,197902,32,E-02,E-02
1979,14,197902,34,F-02,F-02
1979,14,197902,35,E-03,E-03
1979,14,197902,36,D-03,D-03
1979,14,197902,37,D-04,D-04
1979,14,197902,38,E-04,E-04
1979,14,197902,39,E-05,E-05
1979,14,197902,40,D-05,D-05
1979,14,197902,41,D-06,D-06
1979,14,197902,42,D-07,D-07
1979,14,197902,43,D-08,D-08
1979,14,197902,44,D-09,D-09
1979,14,197902,45,C-09,C-09
1979,14,197902,46,A-06,A-06
1979,14,197902,47,B-07,B-07
1979,14,197902,48,B-08,B-08
1979,14,197902,49,C-08,C-08
1979,14,197902,50,C-07,C-07
1979,14,197902,51,F-03,F-03
1979,14,197902,52,F-04,F-04
1979,14,197902,53,F-05,F-05
1979,14,197902,54,F-06,F-06
1979,14,197902,55,G-06,G-06
1979,14,197902,56,H-06,H-06
1979,14,197902,57,H-07,H-07
1979,14,197902,58,G-07,G-07
1979,14,197902,59,F-07,F-07
1979,14,197902,60,F-08,F-08
1979,14,197902,61,G-08,G-08
1979,14,197902,62,H-08,H-08
1979,14,197902,63,H-09,H-09
1979,14,197902,64,G-09,G-09
1979,14,197902,65,F-09,F-09
1979,14,197902,66,F-10,F-10
1979,14,197902,67,G-10,G-10
1979,14,197902,68,H-10,H-10
1979,14,197902,69,H-11,H-11
1979,14,197902,70,G-11,G-11
1979,28,197901,19,GF2524,GF2524
1979,28,197901,20,HG2423,HG2423
1979,28,197901,21,HG2322,HG2322
1979,28,197901,23,IH2322,IH2322
1979,28,197901,27,IH2221,IH2221
1979,28,197901,29,GF2221,GF2221
1979,28,197901,30,GF2120,GF2120
1979,28,197901,34,FE2120,FE2120
1979,28,197901,97,F-13,F-13
1979,28,197901,101,F-14,F-14
1979,28,197901,104,G-14,G-14
1979,28,197901,109,H-15,H-15
1979,28,197901,111,G-15,G-15
1979,28,197901,114,H-16,H-16
1979,28,197901,118,I-16,I-16
1979,28,197901,121,J-16,J-16
1979,28,197901,127,J-14,J-14
1979,28,197901,129,K-14,K-14
1979,28,197901,130,K-13,K-13
1979,28,197901,131,K-12,K-12
1979,28,197901,133,J-13,J-13
1979,28,197901,141,J-11,J-11
1979,28,197901,142,J-12,J-12
1979,28,197901,144,K-11,K-11
1979,28,197901,145,K-10,K-10
1979,28,197901,160,I-06,I-06
1979,28,197901,163,G-05,G-05
1979,28,197901,169,G-04,G-04
1979,28,197901,172,G-03,G-03
1979,28,197901,174,G-02,G-02
1979,28,197901,176,G-01,G-01
1979,28,197901,180,G-18,G-18
1979,28,197901,181,H-19,H-19
1979,28,197901,182,I-18,I-18
1979,28,197901,183,I-01,I-01
1979,28,197901,184,I-05,I-05
1979,28,197901,185,I-04,I-04
1979,28,197901,186,I-03,I-03
1979,28,197901,187,I-02,I-02
1979,28,197901,188,J-01,J-01
1979,28,197901,189,J-18,J-18
1979,28,197901,190,J-19,J-19
1979,28,197901,191,I-19,I-19
1979,28,197901,192,I-20,I-20
1979,28,197901,193,J-20,J-20
1979,28,197901,194,J-21,J-21
1979,28,197901,195,KJ2322,KJ2322
1979,28,197901,197,JI2423,JI2423
1979,28,197901,198,IH2524,IH2524
1979,28,197901,199,HG2625,HG2625
1979,28,197901,200,IH2726,IH2726
1979,28,197901,201,JI2625,JI2625
1979,28,197901,203,KJ2524,KJ2524
1979,28,197901,204,LK2423,LK2423
1979,28,197901,207,ML2524,ML2524
1979,28,197901,208,LK2625,LK2625
1979,28,197901,209,KJ2726,KJ2726
1979,28,197901,210,ML2726,ML2726
1979,28,197901,211,NM2625,NM2625
1979,28,197901,215,ON2726,ON2726
1979,28,197901,216,NM2827,NM2827
1979,28,197901,218,ML2928,ML2928
1979,28,197901,219,NM3029,NM3029
1979,28,197901,220,ML3130,ML3130
1979,28,197901,221,NM3231,NM3231
1979,28,197901,222,ON3130,ON3130
1979,28,197901,223,PO3029,PO3029
1979,28,197901,225,PO2827,PO2827
1979,28,197901,228,RQ2827,RQ2827
1979,28,197901,229,QP2928,QP2928
1979,28,197901,230,RQ3029,RQ3029
1979,28,197901,231,QP3130,QP3130
1979,28,197901,232,PO3231,PO3231
1979,28,197901,233,RQ3231,RQ3231
1979,28,197901,234,SR3130,SR3130
1979,28,197901,235,TS3029,TS3029
1979,28,197901,241,R-26,R-26
1979,28,197901,242,Q-26,Q-26
1979,28,197901,243,Q-25,Q-25
1979,28,197901,244,R-25,R-25
1979,28,197901,245,R-24,R-24
1979,28,197901,246,R-23,R-23
1979,28,197901,247,Q-23,Q-23
1979,28,197901,248,P-23,P-23
1979,28,197901,249,P-24,P-24
1979,28,197901,250,P-25,P-25
1979,28,197901,15,FE2221,FE2221
1979,28,197901,17,GF2322,GF2322
1979,28,197901,18,GF2423,GF2423
1979,28,197901,251,L-22,L-22
1979,28,197901,252,L-21,L-21
1979,28,197901,253,K-21,K-21
1979,28,197901,254,K-20,K-20
1979,28,197901,255,K-19,K-19
1979,28,197901,256,K-18,K-18
1979,28,197901,257,K-01,K-01
1979,28,197901,258,K-02,K-02
1979,28,197901,259,K-08,K-08
1979,28,197901,260,L-09,L-09
1979,28,197901,262,M-07,M-07
1979,28,197901,263,N-07,N-07
1979,28,197901,264,M-06,M-06
1979,28,197901,265,N-05,N-05
1979,28,197901,266,O-04,O-04
1979,28,197901,267,N-03,N-03
1979,28,197901,268,O-02,O-02
1979,28,197901,269,P-01,P-01
1979,28,197901,270,P-18,P-18
1979,28,197901,271,Q-18,Q-18
1979,28,197901,272,Q-02,Q-02
1979,28,197901,298,S-25,S-25
1979,28,197901,299,S-23,S-23
1979,28,197901,302,Q-20,Q-20
1979,28,197901,303,P-19,P-19
1979,28,197901,304,O-20,O-20
1979,28,197901,305,P-21,P-21
1979,28,197901,307,Q-22,Q-22
1979,28,197901,308,O-24,O-24
1979,28,197901,309,N-23,N-23
1979,28,197901,311,O-22,O-22
1979,28,197901,312,N-21,N-21
1979,28,197901,313,M-22,M-22
1979,28,197901,314,M-20,M-20
1979,28,197901,315,N-19,N-19
1979,28,197901,316,O-18,O-18
1979,28,197901,317,N-01,N-01
1979,28,197901,318,O-01,O-01
1979,28,197901,319,Q-01,Q-01
1979,28,197901,320,Q-19,Q-19
1979,28,197901,321,P-20,P-20
1979,28,197901,322,Q-21,Q-21
1979,28,197901,323,P-22,P-22
1979,28,197901,324,O-23,O-23
1979,28,197901,325,N-22,N-22
1979,28,197901,326,M-21,M-21
1979,28,197901,327,N-20,N-20
1979,28,197901,328,O-21,O-21
1979,28,197901,329,O-19,O-19
1979,28,197901,330,N-18,N-18
1979,28,197901,331,M-19,M-19
1979,28,197901,332,M-18,M-18
1979,28,197901,333,M-01,M-01
1979,28,197901,334,M-02,M-02
1979,28,197901,335,N-02,N-02
1979,28,197901,336,O-03,O-03
1979,28,197901,337,N-04,N-04
1979,28,197901,338,M-04,M-04
1979,28,197901,339,M-03,M-03
1979,28,197901,224,ON2928,ON2928
1979,28,197901,261,M-08,M-08
1979,28,197901,147,J-10,J-10
1979,28,197901,154,I-08,I-08
1979,28,197901,159,I-07,I-07
